UNIX time;ISO time;temperature min;temperature avg;temperature max;pressure min;pressure avg;pressure max;humidity min;humidity avg;humidity max
1535723100;2018-08-31T15:45:00.000Z;26.509;26.588;26.638;;;;51.113;51.632;52.586
1535724000;2018-08-31T16:00:00.000Z;26.488;26.577;26.777;;;;51.823;52.662;53.44
1535724900;2018-08-31T16:15:00.000Z;25.78;26.331;26.788;;;;52.876;55.305;58.208
1535725800;2018-08-31T16:30:00.000Z;24.836;25.373;25.78;;;;58.178;60.562;63.183
1535726700;2018-08-31T16:45:00.000Z;24.171;24.424;24.847;;;;63.061;64.936;65.716
1535727600;2018-08-31T17:00:00.000Z;24.15;24.174;24.193;;;;64.602;65.382;65.899
1535728500;2018-08-31T17:15:00.000Z;24.128;24.177;24.353;;;;64.426;65.18;66.624
1535729400;2018-08-31T17:30:00.000Z;24.353;24.765;24.986;;;;63.305;64.092;65.136
1535730300;2018-08-31T17:45:00.000Z;24.965;25.098;25.201;;;;63.099;63.386;63.747
1535731200;2018-08-31T18:00:00.000Z;24.74;25.033;25.115;;;;63.45;64.127;65.67
1535732100;2018-08-31T18:15:00.000Z;23.463;24.062;24.74;;;;65.609;68.243;70.629
1535733000;2018-08-31T18:30:00.000Z;22.595;22.989;23.463;;;;70.629;72.451;74.001
1535733900;2018-08-31T18:45:00.000Z;22.058;22.319;22.605;;;;74.001;75.12;76.092
1535734800;2018-08-31T19:00:00.000Z;21.683;21.86;22.058;;;;76.092;76.861;77.518
1535735700;2018-08-31T19:15:00.000Z;21.404;21.554;21.683;;;;77.473;77.971;78.548
1535736600;2018-08-31T19:30:00.000Z;21.2;21.303;21.404;;;;78.526;78.832;79.22
1535737500;2018-08-31T19:45:00.000Z;20.986;21.093;21.2;;;;79.197;79.358;79.51
1535738400;2018-08-31T20:00:00.000Z;20.793;20.873;20.986;;;;79.38;79.575;79.716
1535739300;2018-08-31T20:15:00.000Z;20.643;20.715;20.793;;;;79.586;79.784;80.029
1535740200;2018-08-31T20:30:00.000Z;20.46;20.55;20.643;;;;79.99;80.117;80.212
1535741100;2018-08-31T20:45:00.000Z;20.321;20.402;20.471;;;;80.189;80.286;80.448
1535742000;2018-08-31T21:00:00.000Z;20.192;20.259;20.321;;;;80.418;80.603;80.853
1535742900;2018-08-31T21:15:00.000Z;20.085;20.138;20.203;;;;80.853;81.149;81.409
1535743800;2018-08-31T21:30:00.000Z;19.967;20.031;20.085;;;;81.371;81.576;81.875
1535744700;2018-08-31T21:45:00.000Z;19.838;19.911;19.978;;;;81.814;82.052;82.279
1535745600;2018-08-31T22:00:00.000Z;19.731;19.768;19.838;;;;82.279;82.467;82.684
1535746500;2018-08-31T22:15:00.000Z;19.645;19.709;19.731;;;;82.63;82.794;82.935
1535747400;2018-08-31T22:30:00.000Z;19.538;19.596;19.645;;;;82.874;83.075;83.294
1535748300;2018-08-31T22:45:00.000Z;19.431;19.485;19.549;;;;83.202;83.399;83.584
1535749200;2018-08-31T23:00:00.000Z;19.323;19.383;19.441;;;;83.508;83.69;83.912
1535750100;2018-08-31T23:15:00.000Z;19.259;19.298;19.334;;;;83.767;83.927;84.072
1535751000;2018-08-31T23:30:00.000Z;19.195;19.222;19.27;;;;84.049;84.143;84.27
1535751900;2018-08-31T23:45:00.000Z;19.152;19.186;19.227;;;;84.095;84.196;84.286
1535752800;2018-09-01T00:00:00.000Z;19.13;19.149;19.162;;;;84.171;84.269;84.37
1535753700;2018-09-01T00:15:00.000Z;19.098;19.122;19.141;;;;84.232;84.301;84.37
1535754600;2018-09-01T00:30:00.000Z;19.002;19.052;19.098;;;;84.316;84.44;84.56
1535755500;2018-09-01T00:45:00.000Z;18.948;18.974;19.012;;;;84.522;84.633;84.744
1535756400;2018-09-01T01:00:00.000Z;18.916;18.943;18.969;;;;84.576;84.705;84.797
1535757300;2018-09-01T01:15:00.000Z;18.884;18.899;18.916;;;;84.744;84.819;84.881
