UNIX time;ISO time;temperature min;temperature avg;temperature max;pressure min;pressure avg;pressure max;humidity min;humidity avg;humidity max
1535723100;2018-08-31T15:45:00.000Z;26.316;26.331;26.348;;;;51.472;51.815;52.212
1535724000;2018-08-31T16:00:00.000Z;26.338;26.482;26.649;;;;51.708;52.133;52.792
1535724900;2018-08-31T16:15:00.000Z;26.134;26.52;26.659;;;;52.357;54.303;56.538
1535725800;2018-08-31T16:30:00.000Z;24.804;25.391;26.145;;;;56.095;59.858;62.771
1535726700;2018-08-31T16:45:00.000Z;24.064;24.329;24.815;;;;62.687;64.471;65.54
1535727600;2018-08-31T17:00:00.000Z;24.042;24.07;24.085;;;;64.312;64.786;64.892
1535728500;2018-08-31T17:15:00.000Z;23.989;24.025;24.128;;;;64.571;65.209;65.899
1535729400;2018-08-31T17:30:00.000Z;24.117;24.489;24.9;;;;62.984;64.079;65.044
1535730300;2018-08-31T17:45:00.000Z;24.9;25.098;25.404;;;;61.97;62.724;63.831
1535731200;2018-08-31T18:00:00.000Z;24.654;24.857;25.029;;;;63.244;64.103;66.906
1535732100;2018-08-31T18:15:00.000Z;23.57;24.12;24.654;;;;65.464;67.436;69.424
1535733000;2018-08-31T18:30:00.000Z;22.712;23.107;23.57;;;;69.424;71.225;72.773
1535733900;2018-08-31T18:45:00.000Z;22.155;22.408;22.712;;;;72.773;73.842;74.795
1535734800;2018-08-31T19:00:00.000Z;21.769;21.947;22.155;;;;74.604;75.463;76.16
1535735700;2018-08-31T19:15:00.000Z;21.49;21.625;21.769;;;;75.779;76.565;77.084
1535736600;2018-08-31T19:30:00.000Z;21.254;21.366;21.49;;;;76.923;77.454;77.892
1535737500;2018-08-31T19:45:00.000Z;21.05;21.156;21.254;;;;77.702;78.005;78.19
1535738400;2018-08-31T20:00:00.000Z;20.868;20.962;21.061;;;;77.93;78.096;78.213
1535739300;2018-08-31T20:15:00.000Z;20.696;20.78;20.868;;;;78.106;78.462;78.747
1535740200;2018-08-31T20:30:00.000Z;20.535;20.617;20.696;;;;78.526;78.785;78.892
1535741100;2018-08-31T20:45:00.000Z;20.407;20.471;20.546;;;;78.724;78.985;79.113
1535742000;2018-08-31T21:00:00.000Z;20.267;20.328;20.417;;;;78.96;79.225;79.479
1535742900;2018-08-31T21:15:00.000Z;20.181;20.223;20.267;;;;79.426;79.627;79.845
1535743800;2018-08-31T21:30:00.000Z;20.042;20.111;20.192;;;;79.647;80.096;80.471
1535744700;2018-08-31T21:45:00.000Z;19.945;19.997;20.042;;;;80.303;80.547;80.776
1535745600;2018-08-31T22:00:00.000Z;19.838;19.896;19.956;;;;80.57;80.855;81.074
1535746500;2018-08-31T22:15:00.000Z;19.72;19.774;19.849;;;;80.959;81.287;81.532
1535747400;2018-08-31T22:30:00.000Z;19.624;19.685;19.731;;;;81.394;81.581;81.699
1535748300;2018-08-31T22:45:00.000Z;19.549;19.584;19.634;;;;81.577;81.797;81.913
1535749200;2018-08-31T23:00:00.000Z;19.431;19.485;19.549;;;;81.799;82.087;82.302
1535750100;2018-08-31T23:15:00.000Z;19.356;19.388;19.431;;;;82.211;82.386;82.516
1535751000;2018-08-31T23:30:00.000Z;19.27;19.314;19.356;;;;82.485;82.591;82.752
1535751900;2018-08-31T23:45:00.000Z;19.259;19.268;19.28;;;;82.531;82.637;82.676
1535752800;2018-09-01T00:00:00.000Z;19.205;19.238;19.259;;;;82.638;82.662;82.752
1535753700;2018-09-01T00:15:00.000Z;19.109;19.181;19.216;;;;82.638;82.77;82.89
1535754600;2018-09-01T00:30:00.000Z;19.087;19.1;19.109;;;;82.859;82.979;83.126
1535755500;2018-09-01T00:45:00.000Z;19.087;19.087;19.087;;;;82.958;83.006;83.096
1535756400;2018-09-01T01:00:00.000Z;19.087;19.087;19.087;;;;82.989;83.135;83.233
1535757300;2018-09-01T01:15:00.000Z;19.002;19.06;19.087;;;;83.126;83.249;83.347
1535758200;2018-09-01T01:30:00.000Z;18.927;18.97;19.034;;;;83.21;83.314;83.401
1535759100;2018-09-01T01:45:00.000Z;18.873;18.91;18.937;;;;83.279;83.365;83.477
1535760000;2018-09-01T02:00:00.000Z;18.809;18.844;18.884;;;;83.363;83.529;83.614
1535760900;2018-09-01T02:15:00.000Z;18.723;18.756;18.819;;;;83.584;83.686;83.775
1535761800;2018-09-01T02:30:00.000Z;18.669;18.697;18.744;;;;83.653;83.73;83.79
1535762700;2018-09-01T02:45:00.000Z;18.637;18.652;18.68;;;;83.599;83.68;83.736
1535763600;2018-09-01T03:00:00.000Z;18.573;18.606;18.637;;;;83.653;83.747;83.874
1535764500;2018-09-01T03:15:00.000Z;18.551;18.563;18.583;;;;83.698;83.781;83.904
1535765400;2018-09-01T03:30:00.000Z;18.53;18.536;18.562;;;;83.645;83.744;83.836
1535766300;2018-09-01T03:45:00.000Z;18.498;18.52;18.53;;;;83.645;83.718;83.805
1535767200;2018-09-01T04:00:00.000Z;18.422;18.455;18.508;;;;83.729;83.934;84.057
1535768100;2018-09-01T04:15:00.000Z;18.38;18.41;18.433;;;;83.729;83.963;84.087
1535769000;2018-09-01T04:30:00.000Z;18.294;18.337;18.38;;;;84.042;84.153;84.293
1535769900;2018-09-01T04:45:00.000Z;18.219;18.259;18.294;;;;84.202;84.262;84.347
1535770800;2018-09-01T05:00:00.000Z;18.165;18.192;18.229;;;;84.095;84.214;84.293
1535771700;2018-09-01T05:15:00.000Z;18.09;18.145;18.176;;;;84.011;84.143;84.202
1535772600;2018-09-01T05:30:00.000Z;18.036;18.068;18.111;;;;83.95;84.109;84.171
1535773500;2018-09-01T05:45:00.000Z;17.972;18.011;18.047;;;;83.118;83.923;84.148
1535774400;2018-09-01T06:00:00.000Z;17.972;17.972;17.983;;;;83.744;83.853;83.942
1535775300;2018-09-01T06:15:00.000Z;17.951;17.968;17.972;;;;83.691;83.766;83.859
1535776200;2018-09-01T06:30:00.000Z;17.918;17.937;17.972;;;;83.775;83.87;83.942
1535777100;2018-09-01T06:45:00.000Z;17.886;17.902;17.929;;;;83.691;83.85;83.912
1535778000;2018-09-01T07:00:00.000Z;17.865;17.887;17.897;;;;83.614;83.699;83.775
1535778900;2018-09-01T07:15:00.000Z;17.875;17.886;17.897;;;;83.53;83.604;83.691
1535779800;2018-09-01T07:30:00.000Z;17.854;17.867;17.886;;;;83.599;83.744;83.859
1535780700;2018-09-01T07:45:00.000Z;17.833;17.851;17.854;;;;83.79;83.876;83.942
1535781600;2018-09-01T08:00:00.000Z;17.822;17.834;17.854;;;;83.874;83.92;83.958
1535782500;2018-09-01T08:15:00.000Z;17.833;17.846;17.854;;;;83.492;83.814;83.927
1535783400;2018-09-01T08:30:00.000Z;17.811;17.836;17.854;;;;83.851;83.927;84.011
1535784300;2018-09-01T08:45:00.000Z;17.843;17.868;17.897;;;;83.859;83.909;83.965
1535785200;2018-09-01T09:00:00.000Z;17.886;17.902;17.918;;;;83.889;83.967;84.026
1535786100;2018-09-01T09:15:00.000Z;17.918;17.935;17.961;;;;83.965;84.014;84.049
1535787000;2018-09-01T09:30:00.000Z;17.94;17.974;18.004;;;;83.942;84.05;84.133
1535787900;2018-09-01T09:45:00.000Z;18.004;18.04;18.069;;;;83.347;83.625;83.942
1535788800;2018-09-01T10:00:00.000Z;18.058;18.398;19.077;;;;79.365;81.861;83.347
1535789700;2018-09-01T10:15:00.000Z;19.077;19.496;19.999;;;;76.145;77.682;79.365
1535790600;2018-09-01T10:30:00.000Z;19.988;20.426;20.782;;;;74.146;74.995;76.145
1535791500;2018-09-01T10:45:00.000Z;20.771;20.965;21.072;;;;73.597;73.808;74.23
1535792400;2018-09-01T11:00:00.000Z;21.072;21.199;21.597;;;;72.704;73.505;73.803
1535793300;2018-09-01T11:15:00.000Z;21.597;22.093;22.466;;;;70.606;71.515;72.704
1535794200;2018-09-01T11:30:00.000Z;22.273;22.452;22.562;;;;70.141;70.685;71.491
1535795100;2018-09-01T11:45:00.000Z;22.133;22.168;22.273;;;;71.491;71.999;72.33
1535796000;2018-09-01T12:00:00.000Z;22.133;22.382;22.734;;;;71.133;71.758;72.392
1535796900;2018-09-01T12:15:00.000Z;22.734;22.95;23.077;;;;70.553;70.818;71.148
1535797800;2018-09-01T12:30:00.000Z;22.798;22.903;23.045;;;;70.606;71.168;71.613
1535798700;2018-09-01T12:45:00.000Z;22.766;22.782;22.798;;;;71.583;71.774;71.995
1535799600;2018-09-01T13:00:00.000Z;22.766;22.813;22.938;;;;71.72;71.967;72.102
1535800500;2018-09-01T13:15:00.000Z;22.938;23.145;23.302;;;;70.622;71.167;71.789
